Start,Finish,Task,Seconds
2025-03-01 22:59:02,2025-03-01 23:00:34,PI34 FIRE PANEL FAULT,92
2025-03-01 22:59:11,2025-03-01 23:00:29,MFIP COMMON FAULT,78
2025-03-01 22:58:32,2025-03-01 22:58:58,MFIP COMMON FAULT,26
2025-03-01 22:58:36,2025-03-01 22:58:49,PI34 FIRE PANEL FAULT,13
2025-03-01 22:44:25,2025-03-01 22:44:38,PI34 FIRE PANEL FAULT,13
2025-03-01 22:44:21,2025-03-01 22:44:34,MFIP COMMON FAULT,13
2025-03-01 20:46:28,2025-03-01 20:46:41,MFIP COMMON FAULT,13
2025-03-01 20:39:59,2025-03-01 20:40:25,PI09 FIRE PANEL FAULT,26
2025-03-01 20:40:08,2025-03-01 20:40:21,MFIP COMMON FAULT,13
2025-03-01 20:05:56,2025-03-01 20:06:09,PI09 FIRE PANEL FAULT,13
2025-03-01 20:05:52,2025-03-01 20:06:05,MFIP COMMON FAULT,13
2025-03-01 20:03:14,2025-03-01 20:03:27,MFIP COMMON FAULT,13
2025-03-01 20:03:05,2025-03-01 20:03:18,PI09 FIRE PANEL FAULT,13
2025-03-01 20:01:42,2025-03-01 20:01:56,MFIP COMMON FAULT,14
2025-03-01 20:01:20,2025-03-01 20:01:33,PI09 FIRE PANEL FAULT,13
2025-03-01 20:01:16,2025-03-01 20:01:29,MFIP COMMON FAULT,13
2025-03-01 20:00:41,2025-03-01 20:00:54,PI09 FIRE PANEL FAULT,13
2025-03-01 20:00:37,2025-03-01 20:00:50,MFIP COMMON FAULT,13
2025-03-01 19:57:11,2025-03-01 19:58:17,PI09 FIRE PANEL FAULT,66
2025-03-01 19:57:20,2025-03-01 19:58:13,MFIP COMMON FAULT,53
2025-03-01 17:10:35,2025-03-01 18:53:20,MFIP COMMON FAULT,6165
2025-03-01 17:10:40,2025-03-01 18:53:11,PI09 FIRE PANEL FAULT,6151
2025-03-01 16:32:47,2025-03-01 16:52:56,PI09 FIRE PANEL FAULT,1209
2025-03-01 16:32:43,2025-03-01 16:52:52,MFIP COMMON FAULT,1209
2025-02-28 23:25:49,2025-02-28 23:26:02,PI34 FIRE PANEL FAULT,13
2025-02-28 23:25:45,2025-02-28 23:25:58,MFIP COMMON FAULT,13
2025-02-28 23:12:28,2025-02-28 23:12:42,PI34 FIRE PANEL FAULT,14
2025-02-28 23:12:24,2025-02-28 23:12:37,MFIP COMMON FAULT,13
2025-02-28 22:36:25,2025-02-28 22:36:38,PI34 FIRE PANEL FAULT,13
2025-02-28 22:36:21,2025-02-28 22:36:34,MFIP COMMON FAULT,13
